step,mean_loss,epoch,compute_time
124,8.973853,4,2024-09-15 01:56:36.698007+00:00
125,7.669811,4,2024-09-15 01:56:37.538358+00:00
126,7.2248445,4,2024-09-15 01:56:38.243766+00:00
127,9.504402,4,2024-09-15 01:56:38.920697+00:00
128,13.821558,4,2024-09-15 01:56:39.927108+00:00
129,2.6365237,4,2024-09-15 01:56:40.766591+00:00
130,7.288972,4,2024-09-15 01:56:41.722184+00:00
131,5.584434,4,2024-09-15 01:56:42.730540+00:00
132,7.676125,4,2024-09-15 01:56:43.646673+00:00
133,4.9143004,4,2024-09-15 01:56:44.335330+00:00
134,9.133179,4,2024-09-15 01:56:45.239453+00:00
135,3.1256542,4,2024-09-15 01:56:45.958165+00:00
136,11.47426,4,2024-09-15 01:56:46.847443+00:00
137,7.1009183,4,2024-09-15 01:56:47.752528+00:00
138,4.301682,4,2024-09-15 01:56:48.612426+00:00
139,4.9770894,4,2024-09-15 01:56:49.275490+00:00
140,11.366385,4,2024-09-15 01:56:50.133244+00:00
141,8.30837,4,2024-09-15 01:56:51.063847+00:00
142,11.5560055,4,2024-09-15 01:56:51.933456+00:00
143,4.3035393,5,2024-09-15 01:56:52.719072+00:00
144,2.2644572,5,2024-09-15 01:56:53.627034+00:00
145,3.2817798,5,2024-09-15 01:56:55.609562+00:00
146,1.9659418,5,2024-09-15 01:56:56.583009+00:00
147,2.6998487,5,2024-09-15 01:56:57.416969+00:00
148,6.1030955,5,2024-09-15 01:56:58.484093+00:00
149,1.8030387,5,2024-09-15 01:56:59.240826+00:00
150,2.7163012,5,2024-09-15 01:57:00.279117+00:00
151,10.087862,5,2024-09-15 01:57:01.208425+00:00
152,3.5373728,5,2024-09-15 01:57:02.091690+00:00
153,3.1585777,5,2024-09-15 01:57:03.060827+00:00
154,4.1147647,5,2024-09-15 01:57:03.739469+00:00
155,13.890923,5,2024-09-15 01:57:04.489035+00:00
156,3.4909003,5,2024-09-15 01:57:05.472005+00:00
157,11.344954,5,2024-09-15 01:57:06.379063+00:00
158,3.2119727,5,2024-09-15 01:57:07.081173+00:00
159,7.9036293,5,2024-09-15 01:57:07.978625+00:00
160,1.8086329,5,2024-09-15 01:57:08.887539+00:00
161,2.6032948,5,2024-09-15 01:57:09.739999+00:00
162,3.682265,5,2024-09-15 01:57:10.642912+00:00
163,9.879059,5,2024-09-15 01:57:11.604942+00:00
164,8.886772,5,2024-09-15 01:57:12.518490+00:00
165,7.3788977,5,2024-09-15 01:57:13.334136+00:00
166,10.941516,5,2024-09-15 01:57:14.137443+00:00
167,8.34074,5,2024-09-15 01:57:15.110375+00:00
168,3.4180927,5,2024-09-15 01:57:16.045783+00:00
169,10.2683735,5,2024-09-15 01:57:16.838083+00:00
170,4.353222,5,2024-09-15 01:57:17.787727+00:00
171,3.4982364,6,2024-09-15 01:57:18.469015+00:00
172,1.1876658,6,2024-09-15 01:57:19.152587+00:00
173,1.7196369,6,2024-09-15 01:57:20.071102+00:00
174,1.6293802,6,2024-09-15 01:57:20.757102+00:00
175,5.2424607,6,2024-09-15 01:57:21.513316+00:00
176,4.290161,6,2024-09-15 01:57:22.411534+00:00
177,2.7479002,6,2024-09-15 01:57:23.231788+00:00
178,2.4929702,6,2024-09-15 01:57:23.949798+00:00
179,1.6079867,6,2024-09-15 01:57:24.863848+00:00
180,11.969942,6,2024-09-15 01:57:25.747476+00:00
181,7.232685,6,2024-09-15 01:57:26.557764+00:00
182,6.173874,6,2024-09-15 01:57:27.335082+00:00
183,1.5115311,6,2024-09-15 01:57:28.083786+00:00
184,5.3537817,6,2024-09-15 01:57:28.989579+00:00
185,3.435411,6,2024-09-15 01:57:29.886114+00:00
186,2.026309,6,2024-09-15 01:57:30.735882+00:00
187,1.3688312,6,2024-09-15 01:57:31.633297+00:00
188,3.0899029,6,2024-09-15 01:57:32.526358+00:00
189,5.0116887,6,2024-09-15 01:57:33.437326+00:00
190,5.876117,6,2024-09-15 01:57:34.081051+00:00
191,2.8746524,6,2024-09-15 01:57:34.946946+00:00
192,4.271553,6,2024-09-15 01:57:35.842266+00:00
